clip,participant,recording,start_frame,gaze_valid_frac,hand_valid_frac,mse_real,condition,rel_last,rel_full,mse,d_mse
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_yaw_45deg,0.12302052229642868,0.07734331488609314,0.4027043879032135,-0.0023934543132781982
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,video_swap,0.6851483583450317,0.6387061476707458,0.7769933342933655,0.3718954920768738
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,real,0.0,0.0,0.3803347051143646,0.0
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,identity,0.0,0.0,0.3803347051143646,0.0
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_swap,0.0833946019411087,0.0821833536028862,0.3752254247665405,-0.005109280347824097
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_mask,0.15844960510730743,0.10833580791950226,0.3856496810913086,0.00531497597694397
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_zero,0.1235584020614624,0.09300859272480011,0.3805932104587555,0.00025850534439086914
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_shuffle_time,0.005364813841879368,0.0034368219785392284,0.3801001012325287,-0.0002346038818359375
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,hand_swap,0.09846053272485733,0.08712653815746307,0.37474775314331055,-0.005586951971054077
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,hand_mask,0.09620610624551773,0.09998299181461334,0.37423446774482727,-0.0061002373695373535
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,hand_shuffle_time,0.00448268698528409,0.004669393412768841,0.38042885065078735,9.414553642272949e-05
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,both_mask,0.14666546881198883,0.14577308297157288,0.3750210404396057,-0.005313664674758911
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_yaw_1deg,0.0019887045491486788,0.001979619963094592,0.3805476129055023,0.0002129077911376953
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_yaw_2deg,0.0037868041545152664,0.0038735519628971815,0.3807528018951416,0.00041809678077697754
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_yaw_5deg,0.008410009555518627,0.008799178525805473,0.38126426935195923,0.0009295642375946045
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_yaw_10deg,0.014916188083589077,0.01715071126818657,0.38192954659461975,0.001594841480255127
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_yaw_20deg,0.03347364440560341,0.03400365635752678,0.3823283612728119,0.0019936561584472656
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,gaze_yaw_45deg,0.06750506162643433,0.05681701749563217,0.3823334276676178,0.001998722553253174
8,P08,P08-20240613-122900,546,1.0,1.0,0.3803347051143646,video_swap,0.7495270371437073,0.7211029529571533,0.8008473515510559,0.4205126464366913
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,real,0.0,0.0,0.7347846031188965,0.0
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,identity,0.0,0.0,0.7347846031188965,0.0
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_swap,0.04071669280529022,0.04515765234827995,0.7348508238792419,6.622076034545898e-05
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_mask,0.16908711194992065,0.08934329450130463,0.7432683110237122,0.008483707904815674
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_zero,0.2301199585199356,0.09423758089542389,0.7514443397521973,0.01665973663330078
9,P08,P08-20240613-122900,3190,1.0,0.75,0.7347846031188965,gaze_shuffle_time,0.04523526132106781,0.06286374479532242,0.7346063256263733,-0.00017827749252319336
